question_id,total_Facial_Emotion_Score_questionID,Q_Face_Sentiment_Score_QuestionID,Storyline_angry_Sum_questionID,Storyline_disgust_Sum_questionID,Storyline_fear_Sum_questionID,Storyline_happy_Sum_questionID,Storyline_sad_Sum_questionID,Storyline_surprise_Sum_questionID,Storyline_Neutral_Sum_questionID,Proportion_Neutral_questionID,Proportion_Surprise_questionID,Proportion_Sad_questionID,Proportion_Happy_questionID,Proportion_Fear_questionID,Proportion_Angry_questionID,Proportion_Disgust_questionID
1924574b-dc9a-4822-8f25-28943d0531a9,557000.0037064431,0.998038983599871,11301.17492093964,95.53486907267431,44942.029416457604,5258.429650409551,62061.10601844207,8561.609587729043,424780.11924339255,0.7626213939259959,0.01537093273026491,0.1114202973168206,0.009440627675796053,0.08068586915152606,0.020289362380140525,0.0001715168194559371
237e6469-5bfc-434f-81c8-afba91956066,478700.0033079175,0.9998397490854074,17116.57272246543,364.4993984070648,73283.27328904874,64464.359218150865,65621.83265477161,7916.44142081503,249933.0246042587,0.5221078397266953,0.01653737490309329,0.1370834180098412,0.13466546641464092,0.15308809856412353,0.03575636641776962,0.0007614359638360089
533ad77a-8cd0-4201-8254-d552a679f3c3,674900.0039085551,0.9999677543553271,22463.898271809892,1228.1642096391718,81241.80872283834,320409.0101160813,66274.91808290854,15040.4129509131,168241.7915543648,0.24928402812272105,0.022285394671520825,0.09819961134848117,0.4747503456223046,0.12037606793946042,0.03328478017738108,0.0018197721181308225
546d29a9-c6eb-43ae-8df5-f106c781a8b4,658800.0041114315,0.999900617414337,36776.246423035445,912.9876104231208,95787.94461560792,103952.83392761303,145744.8779598143,4961.145260702251,270663.9683142355,0.4108439080526395,0.007530578672952023,0.22122780365854786,0.15779118591206037,0.14539760779874866,0.055823081653798824,0.0013858342512528205
7272d619-e9ef-4b44-98dd-9b8eb4530151,649200.0039916771,0.9998202765209095,34302.56911302451,278.81053495487294,162149.71454558073,57478.69662091784,98690.44840220564,77161.20949886809,219138.55527612535,0.3375516850411707,0.11885583645168511,0.15201855791034605,0.08853773300601325,0.24976850515801835,0.052838214575032995,0.0004294678577334811
74490236-9e9e-4f0e-ab37-4c72ca21e15e,651700.0038269539,0.9998120187937596,49060.90703434978,220.01763067531513,123890.05326992465,54953.29143270985,94290.37133078475,39171.02618588007,290114.33694262954,0.4451654676062633,0.060105916765164184,0.14468370535075475,0.08432298773977237,0.19010288866412406,0.07528142818206418,0.0003376056918571639
8b4362d5-8af2-4875-bcd8-6ffe06c30228,651300.0035095327,0.9998055910998338,143999.9162920348,1592.9845483093993,88000.68575367444,53136.04258762933,124615.26642346852,2281.39753496122,237673.71036945493,0.36492201610432856,0.0035028366692275454,0.19133312721016224,0.08158458821020352,0.13511543878317578,0.2210961392846471,0.0024458537382551753
958a18c2-67d5-48e9-8464-9f2615a3f84f,335100.0023507917,0.9989099679162236,19816.04374544394,49.27852620767317,56486.58472023488,9468.405617280087,69962.47714976146,2623.509066613999,176693.70352524964,0.5272864884682451,0.007829033268306692,0.20878089125324104,0.028255462700260754,0.16856635130996867,0.05913471682014485,0.00014705617983281027
cb52904c-1edb-4922-bf84-8a7b50ce2b3e,699800.0032507356,0.9998085111657009,65354.684313370424,2912.679914576585,114357.10165524112,53946.486263551575,207540.27110745347,11260.244989599047,244428.53500694333,0.3492834150779013,0.01609066152799737,0.296570834729037,0.07708843385675544,0.16341397702775862,0.09339051730463353,0.004162160475916693
ef51d3ee-6709-49d7-9819-07ba799205ea,480600.0030042705,0.9996229199422016,36138.22815351177,191.05371624984411,69510.0018082811,27390.025017822038,123759.61492752275,11418.093585861794,212192.98579502114,0.441516821615866,0.023757997325190062,0.2575106411857909,0.056991312622981107,0.1446317132204917,0.07519398237122078,0.0003975316584593248
